STT,Chủ đề,Chi nhánh,Câu hỏi,A,B,C,D,Đáp án,Giải thích
147,So sánh & Thay đổi giữa các kỳ,Tổng hợp,Nhóm ưu đãi nào KHÔNG áp dụng vào các ngày lễ?,Ưu đãi tối 139k,Tiệc sinh nhật Golden Kitchen,Combo Nam & Nữ 235k,"U60+, HSSV, khách hàng nữ, Happy Hour Sáng",D,"U60+, HSSV, khách nữ và Happy Hour Sáng đều ghi 'KHÔNG ÁP DỤNG CÁC NGÀY LỄ'."
148,So sánh & Thay đổi giữa các kỳ,Tổng hợp,Ưu đãi Lễ 2/9 tại Quận 2 và Quận 7 giống và khác nhau ở điểm nào?,Cùng giá và cùng khung giờ,Cùng giá 210k nhưng khác khung giờ,Q7 không có ưu đãi lễ 2/9,"Khác giá, cùng khung giờ",B,"Cùng 210k, cùng điều kiện MXH, nhưng Q2: 09:00–10:30 & 18:00–20:00; Q7: 08:00–11:00 & 16:00–19:00."
149,So sánh & Thay đổi giữa các kỳ,Tổng hợp,Happy Hour Sáng ở ba chi nhánh có giá lần lượt là bao nhiêu?,Q2: 190k · Q1: 210k · Q7: 176k,Cả ba đều 210k,Q2: 210k · Q1: 176k (Bathhouse Nam) · Q7: 190k,Q2: 176k · Q1: 190k · Q7: 210k,C,Q2: 210k (09:00–11:00) · Q1: 176k Bathhouse Nam (09:00–12:00) · Q7: 190k (08:00–11:00).
150,So sánh & Thay đổi giữa các kỳ,Tổng hợp,"Facial care 60' tại Quận 1 và Quận 7 kỳ T9,T10/2026 có giá bao nhiêu?",Cả hai đều 263k,"Q1 là 230k, Q7 là 263k",Cả hai đều 230k,"Q1 là 263k, Q7 là 230k",A,"Cả hai chi nhánh đều tăng từ 230k (T7,T8) lên 263k (T9,T10)."
151,So sánh & Thay đổi giữa các kỳ,Tổng hợp,"Khách CHỈ muốn dùng dịch vụ chà da (Skin Care / Peeling), không mua vé nghỉ dưỡng. Lễ tân xử lý thế nào?",Bắt buộc bán vé Nghỉ dưỡng 270k,Từ chối phục vụ,Bán kèm vé Bathhouse — khách phải ngâm cho da mềm mới chà được,"Bán riêng dịch vụ chà da, không cần vé nào khác",C,"Chà da phải ngâm cho da mềm trước. Khách chỉ dùng chà da thì BẮT BUỘC mua vé Bathhouse riêng. Ngược lại, khách ĐÃ mua vé Nghỉ dưỡng thì ngâm luôn ở khu tắm trong vé — KHÔNG cần mua thêm vé Bathhouse."
152,Klook App (Q2),Q2,Khách Klook mua nhầm dịch vụ và muốn bù thêm tiền để đổi sang dịch vụ khác. Lễ tân xử lý thế nào?,Thu phần chênh lệch và đổi dịch vụ ngay tại quầy,Đổi dịch vụ miễn phí vì lỗi thuộc về khách,Không bù tiền — hướng dẫn khách mua lại đúng dịch vụ trên Klook,Từ chối phục vụ khách,C,"Healing World KHÔNG bù thêm phần chênh lệch. Lễ tân giải thích, hướng dẫn khách mua lại đúng dịch vụ trên Klook, rồi chụp cả hai mã gửi Marketing."
153,Klook App (Q2),Q2,"Sau khi khách mua lại đúng dịch vụ, Lễ tân phải gửi hai mã (mã mua nhầm + mã mới) cho bộ phận nào?",Gửi trực tiếp cho Klook,Quản lý ca,Kế toán,Team Marketing,D,"Lễ tân gửi hai mã cùng hình ảnh, thông tin khách và nội dung trao đổi cho team Marketing; Marketing mới là bên phối hợp với Klook."
154,Klook App (Q2),Q2,Điều nào Lễ tân KHÔNG được làm khi khách mua nhầm dịch vụ Klook?,"Cả 3 điều: tự xác nhận chắc chắn được refund, tự quy đổi dịch vụ, tự thu tiền chênh lệch",Chụp lại mã mua nhầm,Giải thích cho khách bằng mẫu trả lời VI/EN,Gửi thông tin cho Marketing,A,"Lễ tân KHÔNG được tự xác nhận mã mua nhầm chắc chắn được refund, không tự quy đổi dịch vụ và không tự thu phần tiền chênh lệch."
155,Klook App (Q2),Q2,"Trong ca làm việc, bao lâu Lễ tân phải kiểm tra Klook App một lần?",Mỗi 1 tiếng,Mỗi 15 phút,Mỗi 30 phút,Chỉ khi có thông báo từ app,C,Trong ca: cứ mỗi 30 phút kiểm tra app 01 lần. Tuyệt đối không chỉ chờ thông báo — phải chủ động mở app.
156,Klook App (Q2),Q2,"Đầu ca / trước ca, Lễ tân phải kiểm tra những gì trên Klook App?",Chỉ cần xem mục Reviews,Chỉ cần xem doanh thu ngày hôm trước,"Không cần kiểm tra, chờ khách đến","Booking mới, booking trong ngày, giờ khách đến và dịch vụ khách đã mua",D,"Trước ca/đầu ngày: đăng nhập và kiểm tra booking mới, booking trong ngày, giờ khách đến và dịch vụ khách đã mua."
157,Klook App (Q2),Q2,"Khách có mã Klook đến thẳng spa nhưng chưa đặt lịch, mà hôm đó đã hết suất. Xử lý đúng là?",Nhận khách bằng mọi giá vì khách đã trả tiền cho Klook,Thông báo rõ tình trạng và đề xuất khung giờ/ngày khác phù hợp nếu có,Yêu cầu khách tự liên hệ Klook để hoàn tiền,Hủy mã Klook của khách,B,Khách có mã Klook nhưng chưa đặt lịch KHÔNG được ưu tiên vượt quá khả năng tiếp nhận thực tế. Hết suất thì thông báo rõ và đề xuất khung giờ/ngày khác.
158,Klook App (Q2),Q2,Bằng chứng bắt buộc phải lưu khi xử lý booking Klook dùng để làm gì?,Chấm công nhân viên,Báo cáo doanh thu hằng ngày,"Xử lý complaint, tranh chấp hoặc yêu cầu refund với Klook",Gửi cho khách làm kỷ niệm,C,"Bằng chứng (ảnh mã booking, mã mua nhầm/mã mới, tin nhắn, nội dung gửi Marketing, đề xuất của spa) được dùng khi xử lý complaint, tranh chấp hoặc yêu cầu refund với Klook."
159,Klook App (Q2),Q2,Klook sẽ TỰ ĐỘNG redeem voucher trong trường hợp nào?,Ngay khi khách thanh toán trên Klook,Khi Lễ tân bấm nút redeem thủ công,"Khách không hủy hoặc đổi lịch trước mốc 24 giờ, sau khi GL đã xác nhận lịch đặt",Khi khách check-in tại quầy,C,"Nếu khách không hủy hoặc đổi lịch trước mốc 24 giờ, Klook sẽ tự động redeem voucher sau khi GL xác nhận (confirmed) lịch đặt."
160,Klook App (Q2),Q2,"Trên Klook App, Lễ tân tra mã đã tự động redeem ở mục nào?",Billing stats,Bookings,Redemptions,Experience activities,C,"Bước 1: tại màn hình chính chọn mục Redemptions ở thanh menu phía dưới, sau đó nhấn kính lúp để tìm theo Booking Reference ID."
161,Klook App (Q2),Q2,Dòng hiển thị nào xác nhận mã đã được Klook tự động redeem?,“Redeemed by operator”,“Pending amendment”,“Taking place today”,“Automatically redeem”,D,"Bước 4: nhấn mũi tên tại mã booking, nếu phần chi tiết hiển thị “Automatically redeem” thì mã đã được Klook tự động redeem."
162,Klook App (Q2),Q2,"Khách bị redeem tự động, đặt dịch vụ chà da (Peeling). Lễ tân làm gì?","Kiểm tra suất thực tế — còn suất thì nhận, hết suất thì xử lý theo mục 1.3",Từ chối vì mã đã redeem,Cho khách vào ngay không cần kiểm tra,Bán lại dịch vụ khác cho khách,A,Khách đặt Sauna hoặc Jjim Jil Bang thì cho vào sử dụng. Riêng dịch vụ chà da (Peeling) phải kiểm tra suất thực tế; hết suất thì thông báo và xử lý theo mục 1.3.
163,Klook App (Q2),Q2,Booking Klook ghi ngày 03/08 nhưng khách đến sử dụng ngày 04/08. Lễ tân phải làm gì?,"Ghi chú rõ ngày booking gốc và ngày sử dụng thực tế lên BILL, hoặc gọi kế toán trước khi xuất bill",Tự sửa ngày trên app Klook,Từ chối phục vụ vì sai ngày,"Xuất bill bình thường theo ngày 04/08, không cần ghi chú",A,Ngày sử dụng thực tế có thể lệch với ngày đặt trên Klook. Phải ghi chú rõ cả hai ngày lên BILL hoặc gọi kế toán trước khi xuất bill để khớp với báo cáo kế toán.
164,Klook App (Q2),Q2,Vì sao có khi Lễ tân không thấy khu vực chat của khách trên booking Klook?,Do chưa hết 24 giờ,Chỉ thấy chat khi khách chủ động nhắn trước,Do chưa xác nhận booking,Do app bị lỗi,B,Mục 1.6: kiểm tra email và thông tin khách để lại trên booking; khu vực chat chỉ hiển thị khi khách chủ động nhắn trước.
165,Klook App (Q2),Q2,Nguyên tắc chung khi xử lý booking Klook tại Healing World là gì?,Chỉ xử lý booking Klook vào đầu ca,Mọi trường hợp đều chuyển thẳng cho quản lý,"Kiểm tra liên tục trong ca, xử lý theo chỗ trống thực tế, lưu đủ bằng chứng, không tự hứa refund",Ưu tiên tuyệt đối khách Klook hơn khách vãng lai,C,"Booking Klook được kiểm tra liên tục trong ca; Lễ tân xử lý theo tình trạng chỗ trống thực tế, lưu đủ bằng chứng và không tự hứa refund."
